transaction_id,machine_id,date,volume_transferred,status_code
TRX-0,,2026-02-17 18:13,10,OK
TRX-1,,2026-02-17 19:13,12,OK
TRX-2,,2026-02-17 20:13,14,OK
TRX-3,,2026-02-17 21:13,16,OK
TRX-4,,2026-02-17 22:13,18,OK
TRX-5,,2026-02-17 23:13,20,OK
TRX-6,,2026-02-18 00:13,22,OK
TRX-7,,2026-02-18 01:13,24,OK
TRX-8,,2026-02-18 02:13,26,OK
TRX-9,,2026-02-18 03:13,28,OK
TRX-10,,2026-02-18 04:13,30,OK
TRX-11,,2026-02-18 05:13,32,OK
TRX-12,,2026-02-18 06:13,34,OK
TRX-13,,2026-02-18 07:13,36,OK
TRX-14,,2026-02-18 08:13,38,OK
TRX-15,,2026-02-18 09:13,40,WARN
TRX-16,,2026-02-18 10:13,42,WARN
TRX-17,,2026-02-18 11:13,44,WARN
TRX-18,,2026-02-18 12:13,46,ERR
TRX-19,,2026-02-18 13:13,48,ERR
